2,4,0.25,0.09,0.25,2,0.33
2,5,0.25,0.06,0.25,2,0.27
2,6,0.25,0.04,0.25,2,0.26
2,7,0.25,0.02,0.25,2,0.17
2,0,0.38,0.49,0.25,2,0.53
2,1,0.38,0.35,0.25,2,0.50
2,2,0.38,0.19,0.25,2,0.50
2,3,0.38,0.09,0.25,2,0.45
2,4,0.38,0.04,0.25,2,0.41
2,5,0.38,0.01,0.25,2,0.37
2,6,0.38,0.01,0.25,2,0.31
2,7,0.38,0.00,0.25,2,0.29
2,0,0.50,0.49,0.25,2,0.53
2,1,0.50,0.33,0.25,2,0.53
2,2,0.50,0.15,0.25,2,0.49
2,3,0.50,0.06,0.25,2,0.49
2,4,0.50,0.02,0.25,2,0.44
2,5,0.50,0.01,0.25,2,0.40
2,6,0.50,0.00,0.25,2,0.37
2,7,0.50,0.00,0.25,2,0.30
2,0,-0.50,0.49,0.5,2,0.53
2,1,-0.50,0.33,0.5,2,0.44
2,2,-0.50,0.09,0.5,2,0.29
2,3,-0.50,0.01,0.5,2,0.15
2,4,-0.50,0.00,0.5,2,0.09
2,5,-0.50,0.00,0.5,2,0.03
2,6,-0.50,0.00,0.5,2,0.01
2,7,-0.50,0.00,0.5,2,0.01
2,0,-0.38,0.49,0.5,2,0.53
2,1,-0.38,0.48,0.5,2,0.40
2,2,-0.38,0.32,0.5,2,0.28
2,3,-0.38,0.13,0.5,2,0.17
2,4,-0.38,0.04,0.5,2,0.09
2,5,-0.38,0.01,0.5,2,0.04
2,6,-0.38,0.00,0.5,2,0.01
2,7,-0.38,0.00,0.5,2,0.01
2,0,-0.25,0.49,0.5,2,0.53
2,1,-0.25,0.50,0.5,2,0.43
2,2,-0.25,0.45,0.5,2,0.31
2,3,-0.25,0.31,0.5,2,0.19
2,4,-0.25,0.22,0.5,2,0.09
2,5,-0.25,0.11,0.5,2,0.04
2,6,-0.25,0.07,0.5,2,0.01
2,7,-0.25,0.03,0.5,2,0.01
2,0,-0.12,0.49,0.5,2,0.53
2,1,-0.12,0.55,0.5,2,0.45
2,2,-0.12,0.48,0.5,2,0.35
2,3,-0.12,0.51,0.5,2,0.18
2,4,-0.12,0.42,0.5,2,0.09
2,5,-0.12,0.38,0.5,2,0.05
2,6,-0.12,0.30,0.5,2,0.01
2,7,-0.12,0.27,0.5,2,0.00
2,0,0.00,0.49,0.5,2,0.53
2,1,0.00,0.56,0.5,2,0.45
2,2,0.00,0.53,0.5,2,0.36
2,3,0.00,0.56,0.5,2,0.22
2,4,0.00,0.56,0.5,2,0.10
2,5,0.00,0.55,0.5,2,0.05
2,6,0.00,0.55,0.5,2,0.02
2,7,0.00,0.59,0.5,2,0.01
2,0,0.12,0.49,0.5,2,0.53
2,1,0.12,0.45,0.5,2,0.44
2,2,0.12,0.42,0.5,2,0.33
2,3,0.12,0.33,0.5,2,0.24
2,4,0.12,0.27,0.5,2,0.11
2,5,0.12,0.27,0.5,2,0.06
2,6,0.12,0.23,0.5,2,0.02
2,7,0.12,0.18,0.5,2,0.01
2,0,0.25,0.49,0.5,2,0.53
2,1,0.25,0.42,0.5,2,0.47
2,2,0.25,0.37,0.5,2,0.35
2,3,0.25,0.27,0.5,2,0.26
2,4,0.25,0.20,0.5,2,0.13
2,5,0.25,0.15,0.5,2,0.07
2,6,0.25,0.10,0.5,2,0.04
2,7,0.25,0.09,0.5,2,0.02
2,0,0.38,0.49,0.5,2,0.53
2,1,0.38,0.43,0.5,2,0.45
2,2,0.38,0.34,0.5,2,0.37
2,3,0.38,0.19,0.5,2,0.29
2,4,0.38,0.13,0.5,2,0.13
2,5,0.38,0.08,0.5,2,0.10
2,6,0.38,0.05,0.5,2,0.05
2,7,0.38,0.04,0.5,2,0.03
2,0,0.50,0.49,0.5,2,0.53
2,1,0.50,0.37,0.5,2,0.46
2,2,0.50,0.21,0.5,2,0.39
2,3,0.50,0.09,0.5,2,0.32
2,4,0.50,0.04,0.5,2,0.23
2,5,0.50,0.02,0.5,2,0.13
2,6,0.50,0.01,0.5,2,0.09
2,7,0.50,0.00,0.5,2,0.05
2,0,-0.50,0.49,0.75,2,0.53
2,1,-0.50,0.33,0.75,2,0.33
2,2,-0.50,0.13,0.75,2,0.16
2,3,-0.50,0.03,0.75,2,0.05
2,4,-0.50,0.01,0.75,2,0.01
2,5,-0.50,0.00,0.75,2,0.00
2,6,-0.50,0.00,0.75,2,0.00
2,7,-0.50,0.00,0.75,2,0.00
2,0,-0.38,0.49,0.75,2,0.53
2,1,-0.38,0.44,0.75,2,0.37
2,2,-0.38,0.28,0.75,2,0.18
2,3,-0.38,0.14,0.75,2,0.04
2,4,-0.38,0.05,0.75,2,0.01
2,5,-0.38,0.02,0.75,2,0.00
2,6,-0.38,0.01,0.75,2,0.00
2,7,-0.38,0.00,0.75,2,0.00
2,0,-0.25,0.49,0.75,2,0.53
2,1,-0.25,0.49,0.75,2,0.39
2,2,-0.25,0.42,0.75,2,0.20
2,3,-0.25,0.32,0.75,2,0.07
2,4,-0.25,0.25,0.75,2,0.02
2,5,-0.25,0.14,0.75,2,0.00
2,6,-0.25,0.09,0.75,2,0.00
2,7,-0.25,0.05,0.75,2,0.00
2,0,-0.12,0.49,0.75,2,0.53
2,1,-0.12,0.54,0.75,2,0.41
2,2,-0.12,0.47,0.75,2,0.29
2,3,-0.12,0.45,0.75,2,0.12
2,4,-0.12,0.35,0.75,2,0.04
2,5,-0.12,0.28,0.75,2,0.01
2,6,-0.12,0.26,0.75,2,0.00
2,7,-0.12,0.17,0.75,2,0.00
2,0,0.00,0.49,0.75,2,0.53
2,1,0.00,0.53,0.75,2,0.44
2,2,0.00,0.53,0.75,2,0.30
2,3,0.00,0.56,0.75,2,0.13
2,4,0.00,0.56,0.75,2,0.06
